#{"t_start": 1533601316.6020024, "env_id": "SuperMarioBros-v1"}
r,l,t
1334,2883,32.908512
1796,1806,53.570162
1422,631,61.309483
652,2100,86.803036
1666,892,98.492869
1552,1820,121.457371
590,185,124.285601
1246,1370,141.232697
2112,730,150.399024
2103,677,159.320814
1324,1546,179.174649
1600,1042,192.118541
2412,954,203.899743
2064,1320,220.303876
1626,896,231.754514
1967,788,244.009775
1490,386,251.916709
1753,1649,280.9471
2219,2398,323.78951
1866,802,337.86968
1438,495,369.334903
1629,609,416.721155
2588,3348,705.516957
1814,424,744.215758
1593,1768,908.836965
1941,795,991.359171
1580,752,1069.007517
1411,535,1126.420345
2115,762,1206.449497
2375,944,1303.359428
1532,457,1350.57275
1752,1899,1546.679693
1851,479,1596.24641
2286,2551,1858.03187
1793,822,1944.297214
1321,996,2047.495633
1375,559,2105.507257
1004,1199,2228.879391
1791,569,2289.06343
1002,336,2324.491206
1854,973,2424.911258
1228,402,2468.226844
1213,419,2514.720427
2838,1769,2697.878328
1540,606,2760.936022
1640,1558,2921.822402
1746,1959,3123.111176
1019,377,3163.074451
2078,945,3259.288265
2308,1059,3369.172985
2008,937,3467.229704
2486,967,3567.163195
1203,256,3594.219755
3326,1006,3698.365412
1792,425,3743.641956
1022,253,3769.76081
1236,1367,3911.862192
992,207,3934.436229
2430,1204,4058.05719
1755,1308,4194.807254
1396,629,4261.40591
1559,476,4311.53231
1846,1026,4417.627246
2452,1472,4570.019877
2431,868,4665.400732
1924,1049,4774.174262
1895,739,4853.07377
1071,227,4877.638059
666,125,4891.629052
1387,969,4992.140735
1807,817,5078.535146
1326,548,5137.87756
1716,1485,5294.008545
1900,1640,5465.259806
991,244,5491.464841
1005,336,5526.869132
2584,2317,5772.060673
2142,642,5839.954495
2259,1559,6006.316049
2072,796,6092.072721
1652,406,6137.567366
1864,2352,6391.476862
1798,627,6458.02989
1124,479,6509.442489
1418,309,6542.306159
1418,557,6601.222171
1749,406,6645.91862
1510,605,6711.042724
2046,1213,6837.886447
1524,682,6912.674494
1027,176,6930.461989
1416,390,6973.838093
1812,367,7015.781113
2003,893,7111.691235
1633,410,7158.133788
1663,1282,7295.958962
2245,971,7400.688604
1562,448,7454.22724
1356,351,7494.211469
2138,619,7566.719599
1474,429,7614.920231
1552,605,7680.989698
2351,1503,7844.968591
1830,605,7908.967267
1051,185,7928.865135
1309,804,8014.92155
1954,770,8098.86508
1353,576,8164.64496
1383,405,8207.098369
1912,692,8281.818889
1873,1424,8425.802397
1936,798,8507.604909
2356,727,8587.842943
1445,738,8669.413024
1489,349,8705.794696
1374,593,8768.022524
1700,1029,8880.885287
1412,372,8920.987923
2545,2077,9138.603851
1485,503,9192.913013
2613,833,9285.36253
1575,446,9333.839436
2039,784,9419.389532
1861,1123,9541.882778
1489,543,9602.56483
2023,751,9683.177757
2349,805,9770.315312
2478,618,9837.7965
1815,802,9923.546874
1811,478,9974.992195
1233,458,10023.668063
1377,392,10066.464813
1054,248,10093.851592
1842,732,10171.474761
1908,926,10272.089455
1164,287,10301.522377
2182,640,10370.168093
2671,1090,10484.190757
1332,702,10557.423326
1361,519,10614.361629
1441,803,10699.717731
1468,459,10750.571064
1457,439,10794.870319
2301,647,10861.773959
1837,569,10921.556348
1677,1013,11029.984254
1437,463,11082.433919
1911,718,11157.194016
2163,768,11240.1111
1551,517,11294.839226
1001,250,11322.023079
1154,404,11366.663538
1583,468,11416.202387
692,117,11430.245075
2321,1041,11541.650068
1283,1069,11659.636635
1156,282,11691.990917
1912,842,11783.859769
1169,687,11858.051966
1434,356,11898.750039
1870,956,12005.085733
1798,667,12076.538271
1977,1063,12197.412832
1215,464,12248.58712
1600,678,12321.100688
1822,595,12386.78562
1077,202,12409.210015
2125,1774,12598.577389
1446,469,12649.419263
1457,332,12685.577565
2614,1039,12804.592791
1108,688,12882.717256
651,143,12898.419504
1043,305,12934.051704
2557,1047,13047.351627
2013,522,13104.325568
1993,931,13201.658604
1040,283,13233.154286
2783,641,13306.624272
1414,1177,13434.988628
1410,406,13479.156651
1555,552,13548.120427
2340,794,13635.771916
1227,336,13674.604556
1935,687,13753.695266
2362,1641,13933.554007
1436,471,13990.571162
2291,610,14057.393456
2127,759,14143.115314
1957,437,14189.062392
1781,604,14258.586601
1474,333,14297.484387
2152,686,14372.312892
1820,510,14430.233576
2152,1235,14567.41647
1668,419,14616.977104
1720,732,14697.031248
1791,556,14758.593091
1024,214,14782.139974
1068,189,14808.17224
2376,927,14911.582721
1597,315,14946.971661
2178,746,15028.26826
1119,599,15093.721438
1894,1106,15216.369886
2376,709,15294.934065
1069,234,15322.05627
2244,1314,15459.524021
2407,1250,15595.25912
2008,729,15674.29421
1011,324,15711.419989
1433,241,15739.016905
2392,1127,15861.175767
1397,555,15922.349384
1967,885,16020.566032
2014,958,16124.238762
2191,656,16197.167459
1007,239,16225.615037
1792,743,16305.30023
2159,743,16387.827093
1373,578,16450.031471
1941,561,16513.771927
1426,251,16544.926532
1581,295,16599.621336
1386,600,16688.826922
2103,632,16773.430346
2443,1008,16883.199125
1554,415,16927.810287
2114,567,16991.90512
2324,1423,17149.852268
1567,406,17196.913058
1792,951,17297.034861
1443,392,17343.768905
2662,670,17417.218881
1876,833,17511.243299
1451,288,17542.670493
2000,458,17591.354904
1552,280,17621.582918
1801,1141,17746.372688
2283,953,17845.275511
2217,2034,18069.423225
2068,630,18135.682478
1452,1335,18278.489876
1644,731,18356.422203
3063,1026,18467.563126
1794,669,18539.817352
2132,684,18616.459375
1091,167,18634.888951
1696,372,18673.816352
2124,491,18729.074205
1815,298,18761.516451
1493,310,18800.149035
1062,144,18822.030635
1387,388,18863.144506
1812,592,18928.043954
2017,452,18979.51047
2485,567,19042.249834
1155,327,19078.718663
1877,772,19168.398935
1688,330,19205.674115
2041,562,19268.381371
1805,713,19347.870587
1576,334,19386.958715
2066,496,19442.515317
1543,337,19479.846258
3059,1129,19605.832561
1547,380,19647.916216
1189,620,19718.873664
1569,432,19769.735498
1403,457,19820.314658
1947,672,19896.930443
1400,282,19928.837409
1420,512,19984.792432
1775,383,20027.264755
651,189,20049.558324
2691,885,20148.071627
1818,324,20184.567509
2538,610,20254.029136
1723,1211,20388.647539
1049,193,20410.177741
1640,452,20460.664162
2295,788,20544.398705
1713,903,20645.474666
2416,894,20739.723023
2784,692,20815.849708
2618,650,20887.718033
1939,496,20945.302962
1451,299,20980.116382
1056,220,21004.866839
2442,934,21108.731625
2267,2345,21368.606137
1572,348,21413.1592
2659,626,21482.746006
2471,556,21545.356252
1852,392,21589.806819
1992,928,21691.490796
1824,477,21745.483891
2695,585,21811.328882
1086,265,21842.874812
1424,248,21872.423144
1879,483,21928.102861
1670,506,21987.858216
1920,424,22034.648003
1585,317,22070.640788
3652,876,22166.871489
2457,775,22254.05258
2391,639,22325.687459
1430,396,22370.945596
1521,418,22417.25138
1241,330,22454.25686
1723,444,22501.145967
1479,430,22550.315524
1181,239,22577.968924
998,258,22606.871505
3234,699,22683.947345
2471,721,22774.524604
1831,515,22830.564413
1871,390,22873.064591
1067,298,22906.147375
2382,595,22975.170402
1839,341,23016.748548
1871,358,23056.381839
1478,312,23091.477687
1890,363,23131.622344
2002,462,23184.393398
1462,455,23235.846087
2128,419,23281.696236
1450,396,23327.192023
2511,689,23405.223215
1429,304,23440.746687
2085,378,23483.698767
1173,255,23513.028951
1628,329,23549.53773
2204,490,23604.3397
3139,918,23705.624519
677,150,23722.492406
1957,523,23779.445279
2384,501,23835.325284
2557,689,23913.730946
1507,386,23955.665223
1986,275,23985.259048
1388,312,24018.714621
2087,516,24076.684069
2651,545,24136.51396
1837,354,24173.773581
2357,682,24275.289512
1063,192,24298.977388
1191,613,24372.579668
1067,173,24393.270313
1480,335,24433.575277
2002,429,24483.726251
1644,303,24517.824547
1681,322,24552.667488
1442,241,24581.493314
1068,194,24599.361714
2382,593,24646.674914
1443,259,24669.134986
1607,297,24694.524877
1967,341,24724.633903
2273,421,24760.679914
2329,379,24793.57879
1771,337,24820.915457
1255,261,24841.438611
1445,230,24860.195382
2339,871,24929.015862
1548,364,24957.630238
1536,328,24984.180194
1601,327,25011.225186
1431,235,25032.386708
1600,362,25060.993236
2195,376,25090.907898
1525,283,25114.129636
2320,563,25157.976886
2230,541,25200.140807
2585,539,25243.379037
1788,332,25269.362589
1851,370,25300.726843
1997,260,25320.958619
2133,1180,25409.475378
2255,409,25439.486674
2316,542,25480.3625
2496,499,25518.596249
1670,342,25543.049066
2330,619,25589.142034
1406,349,25613.526142
2727,587,25658.097531
2238,473,25692.575052
1539,324,25716.754646
1996,501,25754.0404
1492,270,25775.310767
1770,465,25811.387208
1604,360,25839.812346
1413,362,25868.368975
1944,464,25904.965931
2311,489,25943.134854
2326,336,25969.400076
2057,422,26002.765423
1949,304,26026.423603
2944,521,26067.791221
2769,628,26119.574887
711,103,26127.882864
1452,263,26148.957261
1974,499,26195.97598
1509,453,26237.464172
2422,512,26286.447627
1494,246,26310.269837
2143,464,26353.289982
1590,293,26381.183722
2521,452,26423.078492
2072,635,26481.202012
2241,495,26527.789809
2241,371,26562.730251
1428,218,26583.270674
1971,344,26615.848495
2303,598,26672.053605
2019,287,26699.44272
2065,388,26736.150662
1530,477,26781.361647
3051,737,26850.979141
2009,413,26891.49637
2688,540,26941.686045
2021,391,26978.475263
1334,441,27020.779137
1003,265,27046.970916
1618,368,27083.004388
1981,498,27130.899498
707,102,27141.579866
2297,341,27173.9946
1444,237,27196.200263
1500,234,27218.206394
2304,511,27268.45274
2028,449,27311.643604
1433,226,27333.209512
2357,515,27381.786463
2721,604,27438.267764
1640,443,27480.073832
2415,572,27534.5739
677,122,27546.935516
1625,310,27576.553574
3460,649,27636.746273
2075,541,27687.005259
2229,387,27721.14277
2079,289,27748.177523
1114,166,27763.565362
1468,360,27795.501037
2695,439,27833.655249
2134,434,27870.528721
1869,385,27903.239433
1228,191,27919.500689
2600,349,27949.268024
1950,421,27985.313013
1861,315,28012.187102
2095,458,28051.443408
1476,211,28069.172565
1561,242,28090.789578
1879,284,28116.036412
1044,150,28130.379883
1744,334,28159.242995
1461,291,28184.948638
2426,405,28220.161428
2747,555,28267.687435
1614,317,28294.287011
1413,456,28333.020998
2363,378,28365.615625
710,107,28375.133819
1039,228,28395.271285
2685,547,28441.833548
2910,504,28484.36211
1804,400,28519.892853
2249,370,28552.662051
2096,254,28574.642431
1076,173,28590.137316
2935,481,28631.22607
1456,203,28649.32824
1823,335,28678.011632
1033,281,28702.153464
1213,204,28719.792047
1615,285,28744.687742
1623,305,28771.327279
1267,301,28798.513026
2644,593,28850.563139
2647,407,28886.518464
2236,359,28918.654135
1770,353,28950.011631
1467,226,28970.084578
1435,180,28986.271072
1675,300,29012.197567
2855,650,29067.585156
2455,414,29103.308004
2403,348,29134.383689
698,106,29144.252947
2120,462,29184.988203
1784,366,29218.121592
2347,346,29248.643259
1474,176,29264.60969
3042,580,29314.743665
1242,241,29336.373674
1933,427,29372.925917
2707,636,29427.049735
1420,217,29447.341358
2099,405,29482.63599
1808,396,29518.301727
2219,458,29557.919041
1168,198,29575.308402
2931,1268,29684.682861
1433,232,29705.687872
1407,384,29739.607679
1560,317,29767.029776
2038,448,29807.251319
1776,338,29837.1571
1769,280,29861.466322
1416,364,29892.925961
1081,231,29912.943234
1047,197,29930.054507
1191,327,29958.379481
1851,348,29988.778692
1965,895,30065.424789
4176,749,30130.304713
2282,475,30171.779207
1188,209,30190.155551
1044,191,30207.704955
2287,440,30246.94799
1571,447,30285.682133
1741,309,30313.123125
683,124,30324.196944
1850,331,30353.019082
2101,472,30393.928602
1839,314,30421.28453
2652,597,30473.208699
2412,480,30515.157218
3495,602,30566.593144
2735,474,30606.89415
1388,217,30626.165311
1418,344,30656.443349
1023,166,30671.373442
1049,149,30685.317959
2352,524,30732.290874
1940,356,30763.4582
1484,389,30796.994737
1079,222,30816.212613
1150,304,30842.776631
1081,149,30856.460912
1861,287,30883.793296
1233,219,30903.955018
1105,150,30917.558743
1445,208,30936.64888
1868,256,30959.646414
2132,422,30995.726982
1622,451,31035.056614
1856,317,31063.310021
1453,242,31085.115685
1443,234,31105.651273
1721,265,31128.831165
1832,302,31154.866539
1871,265,31177.918018
1093,165,31193.026251
1075,122,31203.654214
2136,393,31238.309491
1484,256,31261.145293
1457,244,31283.997063
1077,168,31299.575282
1670,315,31327.354948
1792,428,31365.656186
2188,313,31393.913705
1432,231,31415.504064
2576,489,31460.725192
1461,192,31478.760468
1931,301,31506.818541
1388,329,31537.797085
1984,338,31568.227134
1083,144,31581.37643
1990,314,31609.701525
2041,351,31641.123299
2105,414,31676.965365
1440,211,31695.483293
2606,406,31732.444742
1511,213,31752.120734
1068,186,31771.186664
2016,492,31816.43961
1649,320,31845.64217
1496,243,31869.699438
1096,162,31884.463131
1695,432,31924.119928
1895,368,31956.971631
2135,345,31987.299985
2382,613,32041.262419
1432,191,32059.187216
1536,323,32087.377548
1089,179,32104.499834
2391,386,32139.68271
1023,286,32167.8592
1825,321,32196.460386
1640,244,32219.621077
2764,436,32257.360186
1260,281,32284.7224
1511,242,32306.7626
1625,409,32342.214367
1580,402,32378.203156
1459,186,32397.203314
1815,268,32423.426252
2384,675,32483.804399
3104,486,32528.989515
2079,487,32573.370378
1882,287,32600.215283
2605,351,32633.275081
1481,281,32658.137734
1460,278,32684.100248
2204,338,32716.590715
2051,409,32754.733874
1844,371,32788.084739
1913,509,32834.884631
3161,492,32879.430633
1964,490,32925.13084
1210,289,32953.835774
1490,279,32981.394107
719,108,32992.128185
1477,270,33017.119339
1431,266,33040.54418
1706,240,33062.874769
2791,372,33097.042899
1075,144,33112.190201
1828,436,33153.199544
1440,248,33178.762247
1444,271,33205.970668
2305,378,33242.460191
1067,151,33258.159777
1873,308,33287.055498
2062,453,33324.266458
1175,218,33342.851748
1660,297,33369.657248
1447,208,33387.597902
1415,233,33407.920702
2415,368,33443.093006
1453,227,33464.502223
1620,358,33496.518752
1452,244,33519.717427
1626,343,33550.4158
2717,552,33599.421591
1566,278,33622.924276
1472,204,33643.025902
1588,288,33668.243238
1475,196,33686.195564
1183,196,33704.558913
1896,336,33733.115986
1444,234,33753.34043
1931,312,33781.406918
2126,327,33810.102216
2924,557,33860.813098
1438,518,33905.775534
2366,430,33943.409328
1259,249,33965.778157
1569,303,33993.324136
1844,397,34029.421777
1389,329,34057.595405
2228,432,34103.735116
1535,432,34150.4586
1042,239,34174.88008
1411,254,34203.578586
1101,166,34222.16579
1450,380,34259.542432
1953,431,34303.694416
1066,176,34322.407471
1893,381,34361.861575
1539,292,34392.852263
1049,166,34409.035781
1490,290,34436.93475
2029,449,34478.945828
1464,280,34507.134116
1441,269,34532.645729
1267,276,34558.925249
1985,420,34597.801375
1832,521,34646.130879
1423,253,34671.026177
1854,423,34710.903724
1807,400,34749.046862
1444,210,34769.065794
1277,234,34791.321594
1843,342,34825.326714
1456,260,34852.516623
707,102,34864.802234
2136,408,34910.606879
1481,292,34943.297534
1633,302,34976.493354
1036,180,34997.141394
1107,211,35020.006231
2148,329,35057.228024
1882,439,35105.580066
1068,183,35125.829513
1872,321,35161.079988
1459,442,35210.84011
1068,171,35229.87629
1081,134,35246.217281
2036,361,35284.754712
1816,277,35315.947833
1441,267,35346.286196
1502,335,35384.159495
2018,375,35425.765181
1067,146,35442.295282
697,105,35454.677415
1557,264,35485.964977
675,106,35498.90022
1476,291,35530.755114
1791,312,35565.386369
1772,284,35598.728158
1469,205,35622.1977
1729,453,35671.889608
3069,574,35733.605541
1050,165,35752.124395
1948,387,35793.975914
1077,174,35813.425489
1496,298,35845.636157
1566,278,35878.386181
1448,236,35904.265353
1563,195,35926.509997
1079,145,35942.989268
1087,155,35960.915736
1470,213,35984.644101
1479,295,36017.01823
1545,275,36047.765947
1891,337,36085.245883
1419,365,36124.288914
1853,272,36153.210933
682,108,36165.398349
1867,283,36197.76105
1494,336,36234.522765
1534,186,36254.994521
1067,179,36275.519113
1539,301,36308.753209
682,117,36321.9479
2414,530,36378.066867
1994,309,36412.755989
1833,495,36466.451117
1760,393,36510.424666
1435,318,36544.801907
1547,263,36574.465262
1069,182,36594.853839
2214,346,36633.225033
2942,588,36696.240226
1457,262,36724.68647
1177,249,36751.631512
1794,246,36778.277215
2232,350,36816.016824
1219,350,36854.342377
1922,376,36896.219123
1569,249,36924.817554
1605,348,36962.660613
626,127,36976.775693
1049,237,37004.872587
1085,165,37022.979298
2353,451,37071.954443
1594,228,37097.605295
2098,287,37129.506354
1163,184,37150.409963
1719,259,37179.632601
1056,160,37197.955857
1406,221,37222.236763
1583,242,37249.414491
1201,213,37273.116244
1060,140,37288.741645
1408,430,37335.335006
1606,420,37381.249398
1746,251,37409.456851
1843,287,37441.966102
1462,394,37485.980685
1781,410,37532.101669
1482,213,37556.359366
1019,204,37579.183349
1613,301,37611.722921
1034,259,37641.894187
1503,247,37669.584676
2678,460,37720.471731
1525,347,37758.643659
2369,420,37804.082907
2208,390,37845.321409
1016,188,37866.762466
1442,223,37891.381252
1837,380,37932.597698
705,102,37944.253813
2448,358,37985.445997
2365,517,38044.822042
1631,337,38082.357414
1818,290,38114.797035
2757,450,38164.347812
1961,341,38204.63003
680,118,38219.41654
1484,358,38259.011432
1457,202,38281.70285
1489,467,38333.495086
1450,209,38357.351616
1784,339,38396.898939
1414,275,38426.143505
2445,649,38497.900882
711,99,38509.63512
671,230,38534.705532
719,90,38545.185496
1844,375,38586.865611
705,90,38597.806498
1623,324,38633.229769
1159,331,38670.247804
2575,1036,38788.460072
1761,382,38830.550455
1699,1166,38955.83331
1262,271,38985.15439
1274,234,39011.748681
954,229,39037.285222
1414,250,39064.542726
1029,549,39123.231482
2395,904,39225.893909
706,96,39237.221296
704,129,39251.750208
687,104,39263.932373
1579,321,39300.675658
3183,483,39354.059875
713,95,39365.26888
1843,423,39410.386983
1063,214,39434.162038
2547,528,39493.206582
1014,263,39524.150216
673,103,39535.903783
1056,238,39562.634309
1438,205,39585.756682
2306,327,39623.765734
1598,293,39655.549405
1041,272,39685.566202
1061,129,39701.358235
1424,244,39728.248152
688,97,39738.997424
2345,338,39777.576244
1506,232,39803.605037
1514,227,39830.198174
2064,415,39875.597
2488,614,39943.727656
1474,307,39978.699452
1045,135,39994.597845
1447,203,40017.483136
2528,363,40055.678186
2014,361,40095.408351
1405,288,40127.398271
2293,416,40172.319315
2425,554,40234.019911
1643,294,40267.341602
1228,202,40291.023118
1466,446,40341.235996
2508,740,40420.774334
703,101,40433.750961
3104,848,40525.287405
2510,736,40602.342561
690,103,40614.641045
1412,448,40664.043498
1191,205,40687.823668
1863,272,40717.006213
2433,890,40813.825034
1167,387,40855.891313
1608,353,40894.798829
1096,140,40911.042128
1259,357,40949.851048
2645,628,41018.39038
1434,252,41048.143253
1400,359,41086.286567
2556,517,41143.686029
707,96,41155.068272
1849,424,41200.476459
708,91,41211.277302
1095,156,41230.055905
2065,275,41262.980293
1288,222,41287.555666
1070,176,41307.35171
1585,549,41369.242259
1613,305,41402.486277
1487,209,41425.397407
2169,635,41497.433681
1110,233,41522.981363
704,129,41538.146234
2774,423,41585.433555
1679,279,41616.69206
2097,395,41659.720632
1434,259,41688.476742
1097,134,41703.727303
1237,281,41734.201026
1163,254,41766.272674
2760,738,41845.999237
1238,241,41872.091289
1075,133,41887.18786
1480,377,41928.158224
1098,153,41946.110093
705,102,41958.928839
1592,305,41993.724496
700,119,42008.66271
1101,252,42038.207984
1617,420,42085.597968
1462,253,42113.597628
2003,477,42167.099171
1078,156,42186.993606
1864,354,42225.912103
683,107,42239.441475
1575,350,42278.761488
1071,134,42295.372558
1489,339,42333.529937
700,108,42346.820829
714,91,42359.736568
1432,226,42386.59217
2250,380,42428.661435
713,97,42441.142764
703,108,42453.846313
1952,556,42516.422349
1605,472,42569.599144
1020,261,42598.629033
700,104,42611.825076
1667,294,42645.134227
1036,216,42669.329323
1085,169,42688.655844
1507,234,42715.999923
2146,725,42798.106402
1938,590,42866.279855
2101,648,42937.124782
2055,675,43014.946143
687,104,43028.387011
1463,378,43073.295625
2274,293,43109.32323
1799,409,43154.103319
1671,323,43192.095168
680,134,43207.764416
1503,382,43250.60388
1077,135,43266.086595
1592,406,43314.433656
1845,349,43355.997453
1451,267,43385.119572
1598,459,43438.731119
1403,350,43479.702292
1894,414,43528.279458
1097,166,43548.174484
1405,459,43601.950629
1465,437,43652.564038
1083,175,43675.006346
3092,507,43731.603956
1823,290,43765.070439
1463,188,43786.638745
2244,293,43819.787198
1837,281,43852.59553
1597,441,43903.730925
1710,290,43938.987197
2211,614,44007.02668
1987,359,44050.667964
1247,251,44081.396434
2167,317,44118.479067
1194,174,44138.40858
697,101,44151.247649
1405,196,44173.663217
1086,150,44192.21076
1104,176,44213.31969
1449,266,44245.014813
602,135,44261.413122
1478,222,44288.933683
1060,165,44309.961937
1457,258,44340.052958
1868,259,44370.882203
2166,294,44404.47815
1843,309,44440.845524
2051,581,44508.20034
682,101,44519.83505
723,96,44532.443764
1498,230,44559.679693
1996,483,44617.249202
677,114,44631.21468
1653,395,44675.907201
1549,531,44738.016711
1537,320,44773.945722
687,116,44788.067481
686,104,44800.272441
706,94,44811.725247
687,109,44826.151555
717,90,44837.302474
1443,207,44860.695211
690,106,44874.238003
1429,340,44914.948086
1084,218,44939.31312
1208,222,44958.629576
1497,276,44982.463348
706,93,44993.946644
684,134,45007.017238
1504,275,45030.643535
1474,380,45067.414214
1090,244,45088.241586
1577,338,45119.424184
1488,306,45148.004616
1065,213,45167.654954
1249,294,45196.147027
1453,223,45216.472005
1586,361,45249.30202
1074,164,45266.946482
643,125,45280.4748
2291,411,45321.110087
1553,510,45369.97496
1063,167,45386.340554
1501,258,45411.498096
1853,324,45442.527868
1500,323,45475.845854
1575,409,45515.214026
2273,897,45600.295699
1406,258,45627.684011
1467,400,45667.190786
2466,713,45735.015476
1214,287,45762.981793
1410,371,45797.301933
1462,222,45818.255296
1837,535,45868.43775
1497,257,45892.312738
1769,308,45920.040021
702,100,45930.055505
1090,236,45952.345959
1079,140,45966.424999
717,87,45975.504218
1171,352,46009.922942
1039,164,46029.690536
714,88,46040.372331
691,104,46052.1134
1419,377,46094.393489
705,93,46105.675328
1031,215,46129.996198
1150,349,46168.927678
1023,164,46188.67082
1850,254,46217.811643
2230,419,46264.751072
1842,387,46308.480652
1031,181,46330.48724
638,131,46345.934674
2574,601,46413.646803
2056,307,46447.526408
1180,241,46474.719809
1072,122,46490.534544
1753,391,46534.681647
2341,376,46577.204967
1521,197,46599.810565
1698,389,46642.767475
1858,291,46676.393932
1432,281,46707.862048
1062,119,46721.954876
1496,207,46745.45515
1446,264,46775.087227
1440,207,46798.013325
1055,168,46817.14239
1793,282,46848.126178
698,101,46860.270139
3045,544,46920.804633
710,95,46932.566075
1462,525,46988.620966
1258,211,47012.049632
1218,411,47055.987419
1848,334,47092.069894
718,85,47102.975781
1066,166,47121.143613
1412,241,47147.795485
974,251,47175.571905
1489,232,47202.02545
712,86,47212.464429
3110,716,47290.853806
1775,283,47320.67183
1460,206,47343.352673
1626,458,47393.71533
1572,289,47425.973907
1470,449,47475.352942
1910,413,47520.978339
1870,383,47562.669533
2295,428,47608.159829
724,120,47621.968858
1088,217,47646.046104
1061,167,47664.645257
686,108,47677.539433
1844,398,47719.203114
699,96,47730.472988
2494,320,47765.204248
2137,325,47801.682312
2033,349,47839.882574
1865,516,47897.401869
1644,300,47930.593639
1855,387,47973.037748
2142,434,48020.612359
679,121,48034.596149
688,123,48049.002933
1850,317,48083.965113
1029,274,48114.927552
706,104,48126.550118
2254,519,48182.316261
1886,458,48231.631486
1478,175,48251.843832
2252,346,48289.167534
1481,532,48345.883417
1904,325,48381.701087
1446,207,48404.130348
1425,261,48432.313229
1468,183,48452.180673
1654,329,48488.010029
1991,355,48526.074674
1547,229,48550.617859
1634,291,48581.638144
1057,143,48597.73444
1793,297,48629.910475
1976,335,48666.245822
1076,116,48679.552787
1442,152,48697.76932
1942,389,48739.770227
2235,515,48795.931762
2277,340,48831.929433
2420,316,48866.829794
2250,294,48899.35696
2073,343,48936.699466
1906,351,48975.068447
2236,287,49006.249917
1066,264,49034.262603
1430,182,49054.631713
2210,314,49089.405043
1752,308,49122.604963
2116,588,49185.779249
2075,519,49241.474661
1556,345,49277.709969
689,105,49290.302376
1285,224,49314.669136
1471,219,49339.667137
1641,278,49370.290264
2173,248,49397.299634
704,107,49409.611671
709,95,49420.842249
1579,432,49466.143072
1596,467,49518.98678
2245,555,49578.588691
1076,166,49597.42939
1897,255,49626.034773
1196,170,49645.261113
1072,291,49676.878929
1429,223,49701.503571
1083,158,49718.433685
2634,591,49782.290097
707,98,49793.493727
1425,246,49821.299846
1512,261,49848.916581
1589,274,49880.780641
1079,150,49899.733476
689,101,49913.106912
1434,226,49938.688228
