episodes,steps,mean 100 episode reward,% time spent exploring
2,57,207.0,99
3,618,759.0,99
4,663,579.0,99
5,813,640.0,99
6,2114,674.0,97
7,2518,774.2,97
8,2581,696.1,97
9,3457,784.1,96
10,4172,800.6,95
11,4633,922.8,95
12,4761,892.2,95
13,6121,938.7,93
14,7266,930.9,92
15,7894,961.5,92
16,9514,947.1,90
17,9862,965.6,90
18,9898,922.6,90
19,10369,938.6,89
20,11090,952.6,88
21,11141,911.1,88
22,12188,908.5,87
23,12477,924.0,87
24,12959,937.8,87
25,13004,904.9,86
26,13268,899.8,86
27,13595,912.0,86
28,13751,901.7,86
29,15900,913.6,84
30,16570,927.6,83
31,16701,920.0,83
32,16751,897.2,83
33,16909,894.8,83
34,17021,884.8,82
35,17549,899.4,82
36,18128,912.2,81
37,18170,890.4,81
38,18305,882.4,81
39,18908,895.1,81
40,19556,903.5,80
41,19603,883.7,80
42,19856,879.1,80
43,19933,869.1,80
44,20229,866.0,79
45,20579,876.2,79
46,20920,879.0,79
47,21722,892.7,78
48,21882,887.2,78
49,23050,909.0,76
50,23490,916.0,76
51,23528,900.5,76
52,23848,896.6,76
53,23939,887.7,76
54,23981,875.5,76
55,24353,880.4,75
56,24394,868.8,75
57,26344,882.5,73
58,26381,871.2,73
59,27105,882.2,72
60,28209,881.7,71
61,29809,895.0,70
62,29851,884.1,70
63,30413,889.1,69
64,30460,878.5,69
65,31552,883.4,68
66,32259,884.1,67
67,32346,877.4,67
68,32382,867.9,67
69,32603,866.7,67
70,34008,869.8,65
71,34088,862.5,65
72,34200,858.8,65
73,34602,877.6,65
74,35114,884.2,64
75,35172,873.9,64
76,35681,871.0,64
77,36226,877.8,63
78,36461,883.4,63
79,36545,878.3,63
80,36585,870.2,63
81,36700,864.4,63
82,37081,866.0,62
83,37366,873.1,62
84,37471,869.5,62
85,38014,873.8,61
86,38175,871.0,61
87,38506,875.0,61
88,38623,872.0,61
89,38961,873.3,61
90,39063,870.5,60
91,39894,881.3,60
92,40525,882.0,59
93,40925,885.8,59
94,40963,878.7,59
95,41187,884.1,58
96,41652,886.4,58
97,41987,890.2,58
98,42312,895.3,57
99,42362,887.6,57
100,42930,885.4,57
101,43110,884.6,56
102,43527,895.3,56
103,43579,883.4,56
104,43733,887.6,56
105,43965,892.5,56
106,44072,890.5,55
107,44583,898.1,55
108,44690,901.8,55
109,44933,903.1,55
110,44972,896.2,55
111,45291,885.8,54
112,45381,886.0,54
113,45581,883.6,54
114,45926,882.2,54
115,46423,884.9,53
116,46460,879.9,53
117,46587,875.9,53
118,46627,875.8,53
119,46869,873.4,53
120,46900,863.8,53
121,47665,875.3,52
122,48052,873.9,51
123,48720,878.3,51
124,48830,871.8,51
125,49523,884.1,50
126,49632,882.4,50
127,49712,874.7,50
128,49747,870.7,50
129,49965,866.6,50
130,50011,855.7,49
131,50215,859.1,49
132,50256,859.2,49
133,50794,874.1,49
134,50951,876.6,49
135,51278,875.0,48
136,51588,872.6,48
137,52146,888.2,47
138,52332,892.6,47
139,52522,888.8,47
140,52890,886.6,47
141,53339,906.0,46
142,53802,911.6,46
143,53907,913.6,46
144,54019,912.3,45
145,54099,903.7,45
146,54460,901.4,45
147,54737,898.9,45
148,54925,900.6,45
149,55534,893.1,44
150,55657,886.5,44
151,55788,893.3,44
152,55828,888.6,44
153,56145,900.5,43
154,56234,904.3,43
155,56415,905.8,43
156,56449,905.8,43
157,56806,908.3,43
158,57035,916.2,42
159,57173,909.4,42
160,57311,907.3,42
161,57453,898.7,42
162,57521,902.4,42
163,57750,903.1,42
164,57790,903.2,42
165,57867,895.8,42
166,57965,892.8,42
167,58039,892.7,41
168,58206,900.7,41
169,58349,901.2,41
170,58655,903.4,41
171,58697,901.1,41
172,58807,901.0,41
173,59085,891.3,40
174,59195,883.8,40
175,59321,890.9,40
176,59466,891.3,40
177,59605,885.7,40
178,59780,883.0,40
179,60057,893.4,39
180,60235,902.5,39
181,60458,908.7,39
182,60729,908.9,39
183,61102,910.4,38
184,61207,911.1,38
185,61504,913.3,38
186,61615,913.0,38
187,61897,911.0,38
188,62055,915.4,37
189,62293,918.0,37
190,62487,918.9,37
191,62743,912.9,37
192,62854,909.7,37
193,63173,916.7,36
194,63241,920.4,36
195,64200,925.9,35
196,64444,925.1,35
197,64705,928.8,35
198,64834,922.5,35
199,64955,929.7,35
200,65015,929.0,34
201,65194,933.1,34
202,65225,922.7,34
203,65494,935.7,34
204,65530,931.7,34
205,65603,923.2,34
206,65748,924.6,34
207,65923,916.3,34
208,65955,912.7,34
209,66189,919.0,33
210,66463,926.6,33
211,66755,932.1,33
212,66838,932.1,33
213,67010,932.7,32
214,67050,928.1,32
215,67424,936.6,32
216,67454,936.5,32
217,67654,941.9,32
218,67829,947.0,32
219,67901,941.9,32
220,68054,949.9,31
221,68123,941.7,31
222,68216,940.8,31
223,68354,932.1,31
224,68451,932.1,31
225,68711,932.2,31
226,68739,928.5,31
227,68971,940.6,31
228,68999,940.7,31
229,69109,940.6,30
230,69267,946.4,30
231,69415,944.4,30
232,69504,948.5,30
233,69703,938.8,30
234,69796,936.8,30
235,70029,945.2,29
236,70060,936.6,29
237,70295,936.0,29
238,70325,928.0,29
239,70501,930.1,29
240,70531,922.5,29
241,70656,910.1,29
242,70697,899.8,29
243,70787,901.6,29
244,70817,897.8,29
245,71125,909.6,28
246,71290,909.3,28
247,71511,909.5,28
248,71656,909.3,28
249,71722,901.9,28
250,72022,902.1,27
251,72234,902.0,27
252,72316,905.9,27
253,72518,903.6,27
254,72781,907.6,27
255,73027,911.3,26
256,73057,911.3,26
257,73229,904.7,26
258,73259,896.9,26
259,73464,901.3,26
260,73584,900.9,26
261,73791,905.2,26
262,73963,907.2,26
263,74038,899.2,25
264,74078,899.3,25
265,74236,906.8,25
266,74405,907.0,25
267,74633,916.3,25
268,74857,919.0,25
269,74895,912.1,25
270,75226,911.9,24
271,75263,911.8,24
272,75301,908.3,24
273,75569,912.3,24
274,75834,916.4,24
275,76138,921.4,23
276,76277,925.0,23
277,76525,930.8,23
278,76557,922.9,23
279,76784,922.4,23
280,76870,917.1,23
281,76945,911.5,23
282,76977,903.7,23
283,77140,899.8,22
284,77174,895.8,22
285,77237,885.9,22
286,77266,882.4,22
287,77602,893.4,22
288,77688,889.1,22
289,77755,881.2,22
290,77842,880.3,22
291,78053,877.8,21
292,78184,882.0,21
293,78289,871.1,21
294,78324,867.4,21
295,78494,857.3,21
296,78530,849.4,21
297,78811,849.4,21
298,78880,847.9,21
299,79054,848.8,20
300,79218,856.2,20
301,79250,845.4,20
302,79322,849.0,20
303,79493,846.7,20
304,79562,850.4,20
305,79626,850.6,20
306,79704,849.2,20
307,79958,853.5,20
308,79988,853.5,20
309,80193,844.1,19
310,80278,840.2,19
311,80553,838.3,19
312,80645,838.2,19
313,80773,833.9,19
314,80880,837.5,19
315,81016,821.2,18
316,81161,830.3,18
317,81364,829.8,18
318,81509,829.8,18
319,81933,848.6,18
320,82008,844.2,17
321,82240,856.1,17
322,82443,864.1,17
323,82477,857.2,17
324,82641,861.6,17
325,82867,861.9,17
326,83049,869.8,16
327,83122,857.9,16
328,83163,857.8,16
329,83365,864.3,16
330,83400,858.5,16
331,83609,858.7,16
332,83712,858.5,16
333,83977,861.4,16
334,84054,861.5,15
335,84253,853.2,15
336,84488,863.8,15
337,84529,850.0,15
338,84710,858.1,15
339,84900,860.0,15
340,85206,875.8,14
341,85247,870.0,14
342,85430,875.7,14
343,85522,875.8,14
344,85667,880.7,14
345,85879,874.2,14
346,85958,872.8,14
347,86405,888.6,13
348,86595,888.8,13
349,86777,898.4,13
350,86917,899.8,13
351,87028,900.1,12
352,87106,900.2,12
353,87267,898.6,12
354,87379,895.7,12
355,87519,887.3,12
356,87735,898.2,12
357,87769,887.6,12
358,88008,895.4,11
359,88230,895.0,11
360,88448,904.6,11
361,88480,893.8,11
362,88698,902.6,11
363,88732,899.7,11
364,88885,910.7,11
365,88918,900.3,11
366,89051,904.5,10
367,89290,907.2,10
368,89347,900.1,10
369,89698,912.6,10
370,89845,913.2,10
371,89877,913.7,10
372,90059,924.7,9
373,90091,909.8,9
374,90354,916.5,9
375,90388,904.8,9
376,90421,896.5,9
377,90592,896.4,9
378,90686,900.0,9
379,90975,901.5,9
380,91046,901.4,9
381,91288,913.5,9
382,91364,917.2,9
383,91577,917.1,9
384,91712,920.8,9
385,92089,929.6,9
386,92329,935.1,9
387,92713,931.2,9
388,92802,931.2,9
389,93215,947.2,9
390,93246,943.4,9
391,93623,950.0,9
392,93700,945.9,9
393,93848,949.4,9
394,94066,960.4,9
395,94335,963.5,9
396,94611,975.3,9
397,94701,966.4,9
398,94962,974.5,9
399,94997,966.2,9
400,95251,968.4,9
401,95293,969.6,9
402,95323,966.1,9
403,95479,964.6,9
404,95540,964.5,9
405,95722,972.5,9
406,95796,972.3,9
407,96297,975.9,9
408,96503,986.7,9
409,96557,978.5,9
410,96651,978.4,9
411,96873,979.8,9
412,97036,988.1,9
413,97084,982.9,9
414,97113,979.3,9
415,97473,986.5,9
416,97630,985.5,9
417,97760,980.5,9
418,97916,983.5,9
419,98085,970.6,9
420,98222,970.9,9
421,98342,962.8,9
422,98418,954.7,9
423,98749,971.8,9
